Variable,Coefficient,Standard Error,p-value
UNRATE,0.0029609682733175197,4.72561680235061e-05,1.9613895293091537e-282
UEMPLT5,-0.0003331978483780205,4.72561680235061e-05,2.2211411094157127e-12
UEMP15T26,0.001106301608473797,4.72561680235061e-05,2.6814383465380412e-89
CLAIMSx,-0.002369579401693426,4.72561680235061e-05,4.259450942752457e-229
CES0600000007,0.0025693558370816893,4.72561680235061e-05,5.5119950058663175e-248
HOUST,0.0010625663712744093,4.72561680235061e-05,3.9698889556252416e-84
HOUSTMW,0.0006359963386846986,4.72561680235061e-05,5.1698885412763615e-37
HOUSTS,0.00046066576607565904,4.72561680235061e-05,2.193139475352263e-21
M1SL,-0.00046190410769490254,4.72561680235061e-05,1.7491547137338814e-21
TB3MS,0.00036210995617179446,4.72561680235061e-05,3.2071536261511925e-14
TB3SMFFM,0.0006912093540196734,4.72561680235061e-05,1.5278262200351027e-42
T1YFFM,0.0004250834739753074,4.72561680235061e-05,1.2015758909836815e-18
BAAFFM,-0.00014613731913296478,4.72561680235061e-05,0.001033846639263148
EXUSUKx,0.0004022734711322298,4.72561680235061e-05,5.585064959797601e-17
PPICRM,-0.000701935682061902,4.72561680235061e-05,1.2085441942401835e-43
